riderId,pickupX,pickupY
0,331.650840,300.861775
1,482.451272,299.107719
2,243.808119,403.017779
3,68.867043,224.889028
4,171.212681,106.550556
5,319.739360,144.063371
6,69.174928,87.539571
7,417.771709,250.486463
8,333.440582,179.729122
9,455.779291,192.534690
10,375.067837,390.745028
11,372.971713,235.275214
12,22.565857,70.069983
13,328.093411,148.407517
14,104.886737,51.241646
15,375.953130,126.082992
16,489.272815,483.803706
17,335.846463,101.837889
18,96.496727,416.731841
19,340.473308,82.129272
20,492.691477,494.372727
21,232.174267,85.341934
22,61.753154,378.375772
23,229.658328,439.638760
24,495.208905,214.663491
25,122.866257,62.655492
26,397.478148,123.178004
27,166.211998,418.794878
28,193.614840,299.957580
29,331.167322,125.754212
30,243.904183,386.038277
31,148.001965,160.924023
32,115.097027,275.742495
33,13.464776,300.424598
34,331.600276,8.107403
35,66.288811,308.801140
36,131.602235,309.522698
37,35.625802,485.776771
38,282.896450,233.088611
39,348.863456,467.967269
40,371.078154,170.771399
41,244.751293,178.089428
42,158.822227,298.125028
43,175.358718,11.949665
44,129.112209,248.164017
45,396.111497,254.377784
46,167.574526,0.914136
47,337.000503,319.275132
48,9.482643,118.233630
49,120.029223,216.074996
50,75.530837,49.689473
51,438.064366,155.167218
52,147.137534,284.589212
53,438.476139,418.217737
54,486.823098,127.710535
55,261.303017,35.817839
56,492.117505,331.837232
57,466.147848,434.526562
58,282.488042,228.901238
59,244.610382,38.123995
60,257.937648,363.347289
61,55.783394,333.771639
62,135.209602,446.277808
63,141.187850,142.780277
64,262.944240,217.002272
65,272.494642,267.814589
66,140.668897,19.806493
67,60.478392,323.617567
68,18.161965,78.073865
69,206.871490,396.716836
70,231.517596,75.331914
71,212.134043,221.078803
72,40.147295,233.363874
73,261.628156,301.305400
74,164.990177,111.216553
75,300.282566,362.722345
76,492.363532,335.752022
77,171.556459,158.586442
78,0.170684,414.332073
79,140.358703,18.643497
80,383.593215,173.290932
81,141.551609,80.397422
82,105.929710,212.043002
83,195.765854,404.704840
84,176.903537,61.988785
85,112.476032,140.688409
86,365.547110,491.823628
87,356.633593,71.466180
88,287.680340,106.420385
89,289.627085,241.823076
90,369.036197,45.148347
91,407.936838,441.704364
92,74.246327,197.307229
93,193.574090,95.290228
94,9.184932,417.296578
95,259.242212,84.414031
96,49.579178,240.207157
97,118.130330,217.216250
98,22.329763,69.712367
99,133.347170,438.179488
100,167.645077,234.454245
101,5.225819,464.069240
102,139.877865,186.559731
103,36.077633,321.808768
104,162.863389,446.489673
105,371.446168,258.945473
106,141.593105,182.114082
107,454.509669,195.120064
108,46.218069,46.723892
109,46.003459,283.828603
110,226.661744,90.630485
111,355.880883,257.771529
112,486.531388,204.071110
113,104.904572,38.212629
114,243.553185,145.329348
115,184.457077,99.024867
116,430.415645,257.296374
117,11.082657,289.478799
118,444.691563,478.140168
119,178.619952,236.333338
120,439.418560,207.316118
121,95.257374,65.417392
122,56.953706,496.843994
123,455.441320,5.644931
124,347.877724,399.592657
125,137.289496,464.284883
126,84.009213,121.255123
127,435.009505,391.311187
128,470.000122,390.763308
129,432.795546,182.787164
130,381.518088,185.082783
131,301.773575,8.492414
132,209.681961,118.644750
133,354.788063,287.379299
134,171.201773,435.113340
135,325.171083,75.949790
136,51.584647,119.753261
137,45.107119,379.272732
138,284.803065,184.353735
139,486.804767,342.115148
140,36.982570,163.481485
141,495.408748,428.540267
142,53.950504,300.776680
143,486.434053,52.328885
144,452.898113,297.072234
145,402.475808,177.709559
146,386.943032,338.308292
147,324.046830,170.136807
148,88.039740,420.530102
149,307.617094,140.235907
150,198.470365,241.698830
151,280.277151,190.536287
152,34.058648,135.611438
153,154.920119,344.244608
154,483.284851,181.917011
155,242.434576,8.062688
156,135.639653,238.033291
157,28.123308,96.933926
158,449.840268,203.708781
159,448.410598,427.606376
160,317.941921,347.041993
161,450.873210,170.028883
162,254.913416,491.960873
163,345.728072,30.851118
164,144.905194,291.481970
165,260.132339,431.676909
166,5.223874,188.510016
167,387.998883,236.224423
168,86.937078,496.505440
169,187.503287,75.175540
170,317.067772,316.038279
171,216.055844,15.250505
172,101.497176,240.063615
173,408.234698,219.923260
174,349.981041,490.695237
175,296.024194,353.196396
176,255.093394,273.319975
177,442.674739,284.983652
178,355.447870,230.087583
179,211.598500,166.901981
180,240.206354,424.126318
181,419.937767,160.653827
182,406.669927,288.276772
183,432.790413,17.684412
184,265.657436,427.702189
185,338.549703,328.427584
186,100.411993,74.425360
187,8.413100,82.207690
188,423.935890,353.658303
189,83.837803,204.743999
190,146.939664,336.732628
191,254.567801,469.207882
192,264.001004,123.504541
193,86.830475,108.911993
194,389.064697,418.300182
195,136.398169,94.964716
196,423.074555,237.783241
197,134.432626,380.601609
198,416.313671,16.568087
