driverId,locationX,locationY,available
0,116.743300,139.292533,true
1,20.656606,478.337788,true
2,151.787932,123.150097,true
3,455.480968,129.135488,true
4,242.599311,337.521924,true
5,32.614339,148.837005,true
6,26.825239,458.009561,true
7,43.892802,264.987136,true
8,189.376963,264.748625,true
9,347.826386,147.938661,true
10,466.211757,191.748543,true
11,78.720295,187.871556,true
12,119.297851,77.185218,true
13,395.559248,240.137331,true
14,498.072378,417.579595,true
15,86.404808,313.003905,true
16,98.113172,196.860967,true
17,241.028638,104.005003,true
18,151.280363,82.505835,true
19,179.602096,426.352554,true
20,233.243961,455.259071,true
21,378.485107,405.248752,true
22,154.098654,366.385962,true
23,265.505338,365.439045,true
24,5.677370,96.969670,true
25,466.590820,75.975671,true
26,175.210071,27.460505,true
27,373.217190,465.915632,true
28,399.134715,12.499412,true
29,265.853313,75.555703,true
30,23.152096,395.979809,true
31,172.436534,361.811052,true
32,55.026865,194.378092,true
33,162.881709,33.472979,true
34,345.171768,322.574555,true
35,380.725601,352.335112,true
36,306.712605,35.703094,true
37,291.231090,299.556355,true
38,491.516413,13.009179,true
39,381.623023,173.132784,true
40,71.575601,215.262132,true
41,383.600616,51.979618,true
42,336.175798,305.959167,true
43,0.868418,134.878284,true
44,204.435601,38.375047,true
45,115.151051,238.422269,true
46,470.091221,75.452495,true
47,13.004193,217.100018,true
48,40.809471,227.595170,true
49,322.707226,250.781120,true
50,307.847462,64.616063,true
51,75.620222,330.126759,true
52,483.537778,282.410973,true
53,109.611259,358.823744,true
54,273.862823,82.367731,true
55,413.506881,83.045765,true
56,111.292333,152.088595,true
57,470.991940,53.174017,true
58,359.093196,119.694430,true
59,199.982217,20.563586,true
60,412.480655,90.795767,true
61,199.216027,73.020713,true
62,464.265663,67.157186,true
63,207.658812,416.660006,true
64,373.062603,189.148001,true
65,454.287046,18.939557,true
66,70.657265,340.263498,true
67,425.915918,337.925861,true
68,271.795095,201.317420,true
69,8.957258,76.219373,true
70,404.434473,344.347848,true
71,467.342609,314.475273,true
72,161.420451,411.844988,true
73,303.318320,499.083139,true
74,385.569229,335.600790,true
75,210.417484,81.323024,true
76,139.313849,411.296729,true
77,68.636425,131.194306,true
78,277.346873,359.887453,true
79,250.690512,478.117638,true
80,136.105750,274.904577,true
81,405.197356,362.839271,true
82,77.481894,75.995916,true
83,357.732745,220.120780,true
84,75.794722,263.332466,true
85,323.927251,50.176364,true
86,316.856778,394.956133,true
87,260.119540,378.323558,true
88,385.866442,289.708274,true
89,386.554547,46.942221,true
90,56.899969,492.070062,true
91,205.712708,31.590599,true
92,460.934366,22.062280,true
93,204.078904,124.006041,true
94,1.618260,373.293622,true
95,369.507502,178.722107,true
96,308.417748,115.312742,true
97,178.312566,177.162292,true
98,265.299353,302.611035,true
99,306.309831,123.324947,true
100,229.772709,191.939176,true
101,496.259897,248.552638,true
102,461.900243,22.042234,true
103,270.509479,169.383043,true
104,15.791821,315.484095,true
105,12.100620,12.107646,true
106,407.136995,320.923998,true
107,350.214847,90.418010,true
108,259.487993,326.023627,true
109,276.542553,498.398839,true
110,349.291587,136.105327,true
111,488.014969,460.130342,true
112,15.078151,31.747843,true
113,98.309221,459.291841,true
114,269.751393,489.697802,true
115,85.634239,57.412112,true
116,156.582439,375.791297,true
117,147.528190,397.791111,true
118,419.296984,196.021476,true
119,14.745685,183.621454,true
120,414.554529,322.454430,true
121,235.785632,413.466996,true
122,381.153789,394.386953,true
123,481.208280,355.009791,true
124,194.458564,331.956451,true
125,32.612790,138.855637,true
126,76.823376,89.354243,true
127,314.993950,458.192153,true
128,405.208636,417.860395,true
129,103.169925,167.222473,true
130,255.709860,5.109151,true
131,383.069856,81.551410,true
132,151.386051,406.310881,true
133,276.893415,497.079836,true
134,134.557061,185.597552,true
135,447.501724,360.466972,true
136,267.650314,141.225220,true
137,481.871657,143.849325,true
