driverId,locationX,locationY,available
0,233.755361,769.951893,true
1,330.420949,609.835467,true
2,192.944000,227.603845,true
3,175.415069,393.199386,true
4,281.161438,687.544954,true
5,698.567580,641.811330,true
6,611.284339,466.282637,true
7,380.103612,111.827184,true
8,712.547860,934.695714,true
9,793.435267,205.526133,true
10,819.747917,429.512267,true
11,381.089264,5.793795,true
12,458.533502,244.973376,true
13,926.031851,544.615256,true
14,666.663509,469.605719,true
15,238.441174,238.957866,true
16,309.266152,340.253135,true
17,336.766222,600.275604,true
18,595.553626,473.992654,true
19,191.950449,777.968387,true
20,85.108279,808.288413,true
21,924.987288,232.480807,true
22,183.770783,330.712601,true
23,200.514057,850.327005,true
24,372.325221,711.789072,true
25,442.939295,111.179449,true
26,185.589181,767.992680,true
27,416.638323,496.261146,true
28,265.182147,276.662582,true
29,658.040095,187.632365,true
30,646.158425,40.565974,true
31,224.968346,249.564518,true
32,805.855851,257.073706,true
33,237.388282,906.045347,true
34,902.725006,185.386897,true
35,723.749567,232.561161,true
36,63.567771,824.979632,true
37,358.405607,565.653533,true
38,539.528461,819.399780,true
39,778.127531,200.349212,true
40,44.344526,81.796115,true
41,299.520999,493.413761,true
42,612.777826,702.016945,true
43,24.192593,319.480832,true
44,872.811991,539.851481,true
45,514.802111,937.460901,true
46,712.114912,534.962480,true
47,452.675201,716.234242,true
48,937.429555,171.284312,true
49,946.441164,841.484948,true
50,674.970897,722.138058,true
51,451.198496,79.634477,true
52,940.570208,872.041281,true
53,579.000821,910.184274,true
54,20.221963,62.166811,true
55,433.994251,854.378806,true
56,44.853471,438.631406,true
57,489.326658,625.952294,true
58,417.550535,596.271908,true
59,437.988330,808.823190,true
60,557.136769,405.292768,true
61,896.032335,126.952924,true
62,758.918584,84.145639,true
63,314.162251,13.186102,true
64,841.571727,339.228169,true
65,962.463869,106.741690,true
66,648.558689,830.465631,true
67,393.096571,513.125805,true
68,403.131841,441.565869,true
69,357.049020,145.588338,true
70,377.889488,834.714166,true
71,753.603001,233.847472,true
72,333.017446,551.701656,true
73,824.938371,133.657396,true
74,701.761932,486.957059,true
75,473.350849,899.896284,true
76,557.344402,902.678530,true
77,274.843894,696.203012,true
78,982.442031,282.238263,true
79,490.394470,5.792899,true
80,580.522737,225.260213,true
81,134.981855,780.933986,true
82,517.736782,276.246316,true
83,954.507905,122.667297,true
84,664.731484,48.354794,true
85,982.025664,817.705645,true
86,119.669598,254.909203,true
87,197.232804,76.047620,true
88,636.895969,293.444706,true
89,696.975366,110.694554,true
90,260.110977,840.573543,true
91,699.545936,779.959918,true
92,764.573722,510.679216,true
93,651.849988,373.212417,true
94,349.771286,7.424539,true
95,686.052775,762.495171,true
96,392.155453,354.285979,true
97,681.108646,565.315337,true
98,966.961343,728.802954,true
99,224.612979,667.999879,true
100,278.787080,144.957403,true
101,841.707099,444.364759,true
102,102.527576,729.075254,true
103,960.304380,271.046483,true
104,829.419338,616.868611,true
105,215.695806,488.696381,true
106,737.367611,562.713181,true
107,862.631663,787.339729,true
108,660.390941,196.982860,true
109,259.265560,104.553105,true
110,318.932553,493.239194,true
111,614.885675,516.715370,true
112,190.951760,414.300823,true
113,452.147348,276.438553,true
114,953.122692,894.693699,true
115,524.560208,103.387417,true
116,202.132250,286.710082,true
117,251.272264,71.047069,true
118,377.982150,148.280671,true
119,83.731851,948.600185,true
120,554.365199,783.090741,true
121,602.598185,654.926793,true
122,35.599212,256.847662,true
123,558.309702,560.841226,true
124,505.266198,708.333938,true
125,515.008825,736.031825,true
126,808.618696,649.856469,true
127,235.060718,878.771789,true
128,318.979155,608.928874,true
129,450.192218,589.319681,true
130,237.772039,901.500950,true
131,205.317496,852.030658,true
132,108.492841,546.775255,true
133,532.404093,76.550693,true
134,286.831913,334.627907,true
135,814.274155,815.067743,true
136,102.335041,838.876805,true
137,832.022936,320.445060,true
138,971.397352,733.117459,true
139,154.777035,439.163885,true
140,777.050217,110.572630,true
141,226.802883,943.354104,true
142,417.915763,635.379271,true
143,234.516106,297.792729,true
144,546.867310,259.962180,true
145,594.730321,30.602130,true
146,169.347847,931.620570,true
147,695.523765,330.481281,true
148,951.963530,181.180545,true
149,342.391126,228.654652,true
150,803.881997,737.542537,true
151,214.886663,740.325242,true
152,536.730824,344.179899,true
153,522.754048,638.269727,true
154,183.104161,767.121011,true
155,965.577462,110.315218,true
156,859.450757,578.673724,true
157,46.277138,412.788453,true
158,896.029605,677.128160,true
159,766.312338,773.630499,true
160,324.784565,659.899668,true
161,739.242945,221.720731,true
162,715.402591,106.050830,true
163,799.340620,723.056097,true
164,780.484328,543.857727,true
165,253.229127,989.782858,true
166,132.670635,380.062360,true
167,25.072796,594.679733,true
168,69.731490,349.679610,true
169,79.620559,571.542874,true
170,288.039028,108.703719,true
171,672.453217,511.024764,true
172,980.509247,436.785786,true
173,173.069053,271.830261,true
174,862.012377,142.930446,true
175,433.983623,818.775498,true
176,283.414648,174.486322,true
177,937.807234,372.065773,true
178,744.829172,618.181515,true
179,244.303751,6.250976,true
180,799.317225,251.681887,true
181,580.722615,72.668250,true
182,550.195618,55.126479,true
183,771.235501,335.783481,true
184,688.269611,624.321056,true
185,85.098142,511.694079,true
186,289.725030,740.747032,true
187,998.196441,976.158242,true
188,401.077304,448.270161,true
189,308.925573,769.865989,true
190,774.489197,862.409243,true
191,526.889538,670.270307,true
192,984.933075,595.252157,true
193,961.697791,22.147102,true
194,560.087563,117.583005,true
195,479.174698,223.154934,true
196,684.522629,599.510429,true
197,463.586366,246.016801,true
198,501.640954,771.864315,true
199,127.028889,345.547875,true
200,30.007816,132.853925,true
201,940.910668,146.604449,true
202,235.115663,387.957468,true
203,629.500845,638.131552,true
204,853.293389,355.740056,true
205,861.804759,208.837153,true
206,151.384632,698.272546,true
207,505.566606,751.623684,true
208,923.983780,742.051356,true
209,65.988182,36.758139,true
210,679.431353,343.795262,true
211,721.792183,7.864291,true
212,146.436089,225.222117,true
213,192.547061,390.171635,true
214,945.103406,451.884682,true
215,523.709734,17.057583,true
216,509.315475,763.371580,true
217,759.631788,578.770746,true
218,121.821255,275.655767,true
219,389.813179,76.324874,true
220,229.059183,671.099629,true
221,399.977304,123.904451,true
222,39.649266,367.602289,true
223,737.079767,384.724706,true
224,778.655664,315.601221,true
225,6.152490,848.139998,true
226,869.134298,10.116988,true
227,256.923897,359.896587,true
228,743.144713,24.756223,true
229,789.444820,802.776984,true
230,946.319043,875.564866,true
231,10.489102,591.484580,true
